Start,End
1,2
1,5
1,6
2,13
3,4
3,8
3,9
4,5
5,6
5,11
6,12
7,8
7,15
8,9
8,16
9,10
9,24
10,11
11,12
11,25
12,13
13,26
14,15
14,19
14,20
15,16
15,21
16,23
17,18
17,28
17,29
18,19
18,40
19,20
19,29
20,30
21,22
21,31
22,23
22,32
23,24
24,25
24,33
25,26
25,34
26,35
27,28
27,36
28,38
29,30
29,41
30,31
30,42
31,32
31,43
32,44
33,34
33,46
34,35
34,47
35,48
36,37
36,49
37,38
37,50
38,39
38,51
39,40
39,52
40,41
40,53
41,42
41,54
42,55
43,44
43,56
44,45
44,57
45,46
46,47
46,58
47,48
47,59
48,60
49,50
49,61
50,51
50,62
51,52
51,63
52,53
52,64
53,54
53,65
54,66
55,56
55,67
56,57
56,68
57,58
57,69
58,59
58,70
59,60
59,71
60,72
61,62
61,73
62,63
62,74
63,64
63,75
64,65
64,76
65,66
65,77
66,67
66,78
67,68
67,79
68,80
69,70
69,81
70,71
70,82
71,72
71,83
72,84
73,74
73,85
74,75
75,76
75,86
76,87
77,78
77,88
78,79
78,89
79,90
80,81
80,91
81,82
81,92
82,83
82,93
83,94
84,95
85,86
85,98
86,87
86,98
87,88
87,99
88,100
89,90
89,101
90,91
91,103
91,104
92,93
92,104
93,94
94,95
94,96
95,97
96,97
96,106
97,110
98,99
98,121
99,100
99,111
100,101
100,111
101,102
101,123
102,103
102,112
103,104
103,113
104,105
104,114
105,106
105,115
106,107
106,116
107,108
108,109
108,118
109,110
109,119
110,120
111,121
111,122
112,113
112,123
112,124
113,114
113,125
114,127
114,128
115,116
115,128
116,117
116,129
117,118
118,119
118,141
119,120
119,142
120,144
121,130
122,130
122,132
123,124
124,125
124,126
124,134
125,126
126,135
127,128
127,136
128,129
128,138
129,139
130,131
131,132
131,145
132,133
132,146
133,134
134,135
134,148
135,136
135,149
136,137
136,150
137,138
137,151
138,139
138,152
139,140
139,153
140,141
141,142
141,155
142,143
143,144
143,156
144,157
145,158
145,169
146,147
146,158
147,148
148,149
148,159
149,150
149,159
150,160
151,152
151,161
152,153
152,162
153,154
153,163
154,155
154,165
155,156
156,157
157,168
158,159
158,170
159,160
159,171
160,172
161,162
161,173
162,163
162,174
164,165
164,166
164,174
164,175
165,166
166,167
166,176
167,168
167,177
168,177
169,170
169,179
170,171
170,180
171,172
171,180
172,173
172,181
173,174
173,182
174,182
174,183
174,189
175,176
175,183
176,177
178,179
178,184
179,180
179,185
180,181
180,186
181,187
182,187
182,188
183,190
184,185
185,186
185,191
186,187
187,188
187,192
188,189
188,192
188,195
189,190
189,196
190,197
191,192
191,193
192,194
193,194
193,199
194,195
194,198
195,196
195,199
196,197
196,199
197,199
198,199
